gatherer,date,fruit,amount
John,2020-01-01,apples,0.01
John,2020-01-01,oranges,0.06
John,2020-01-01,strawberries,0
John,2020-01-01,plums,0
John,2020-01-01,pears,0.02
John,2020-01-01,tomatoes,0.16
Nick,2020-01-01,apples,0
Nick,2020-01-01,oranges,0.16
Nick,2020-01-01,strawberries,0
Nick,2020-01-01,plums,0
Nick,2020-01-01,pears,0.01
Nick,2020-01-01,tomatoes,0.06
Rick,2020-01-01,apples,0
Rick,2020-01-01,oranges,0.09
Rick,2020-01-01,strawberries,0
Rick,2020-01-01,plums,0
Rick,2020-01-01,pears,0.01
Rick,2020-01-01,tomatoes,0.08
Dick,2020-01-01,apples,0
Dick,2020-01-01,oranges,0.11
Dick,2020-01-01,strawberries,0
Dick,2020-01-01,plums,0
Dick,2020-01-01,pears,0.01
Dick,2020-01-01,tomatoes,0.04
Jake,2020-01-01,apples,0
Jake,2020-01-01,oranges,0.07
Jake,2020-01-01,strawberries,0
Jake,2020-01-01,plums,0
Jake,2020-01-01,pears,0.01
Jake,2020-01-01,tomatoes,0.08
Paul,2020-01-01,apples,0
Paul,2020-01-01,oranges,0.15
Paul,2020-01-01,strawberries,0
Paul,2020-01-01,plums,0
Paul,2020-01-01,pears,0.01
Paul,2020-01-01,tomatoes,0.05
Jason,2020-01-01,apples,0
Jason,2020-01-01,oranges,0.22
Jason,2020-01-01,strawberries,0
Jason,2020-01-01,plums,0
Jason,2020-01-01,pears,0.01
Jason,2020-01-01,tomatoes,0.15
Peter,2020-01-01,apples,0.01
Peter,2020-01-01,oranges,0.09
Peter,2020-01-01,strawberries,0
Peter,2020-01-01,plums,0
Peter,2020-01-01,pears,0.01
Peter,2020-01-01,tomatoes,0.01
John,2020-01-02,apples,0.01
John,2020-01-02,oranges,0.16
John,2020-01-02,strawberries,0
John,2020-01-02,plums,0
John,2020-01-02,pears,0
John,2020-01-02,tomatoes,0.03
Nick,2020-01-02,apples,0
Nick,2020-01-02,oranges,0.03
Nick,2020-01-02,strawberries,0
Nick,2020-01-02,plums,0
Nick,2020-01-02,pears,0
Nick,2020-01-02,tomatoes,0.15
Rick,2020-01-02,apples,0.01
Rick,2020-01-02,oranges,0.13
Rick,2020-01-02,strawberries,0
Rick,2020-01-02,plums,0
Rick,2020-01-02,pears,0.01
Rick,2020-01-02,tomatoes,0.02
Dick,2020-01-02,apples,0.01
Dick,2020-01-02,oranges,0.11
Dick,2020-01-02,strawberries,0
Dick,2020-01-02,plums,0
Dick,2020-01-02,pears,0.01
Dick,2020-01-02,tomatoes,0.06
Jake,2020-01-02,apples,0
Jake,2020-01-02,oranges,0.13
Jake,2020-01-02,strawberries,0
Jake,2020-01-02,plums,0
Jake,2020-01-02,pears,0.01
Jake,2020-01-02,tomatoes,0.05
Paul,2020-01-02,apples,0
Paul,2020-01-02,oranges,0.09
Paul,2020-01-02,strawberries,0
Paul,2020-01-02,plums,0
Paul,2020-01-02,pears,0.01
Paul,2020-01-02,tomatoes,0.05
Jason,2020-01-02,apples,0
Jason,2020-01-02,oranges,0.09
Jason,2020-01-02,strawberries,0
Jason,2020-01-02,plums,0
Jason,2020-01-02,pears,0
Jason,2020-01-02,tomatoes,0.1
Peter,2020-01-02,apples,0
Peter,2020-01-02,oranges,0.1
Peter,2020-01-02,strawberries,0
Peter,2020-01-02,plums,0
Peter,2020-01-02,pears,0.01
Peter,2020-01-02,tomatoes,0.1
John,2020-01-03,apples,0.01
John,2020-01-03,oranges,0.1
John,2020-01-03,strawberries,0
John,2020-01-03,plums,0
John,2020-01-03,pears,0.01
John,2020-01-03,tomatoes,0.11
Nick,2020-01-03,apples,0
Nick,2020-01-03,oranges,0.09
Nick,2020-01-03,strawberries,0
Nick,2020-01-03,plums,0
Nick,2020-01-03,pears,0.01
Nick,2020-01-03,tomatoes,0.11
Rick,2020-01-03,apples,0.01
Rick,2020-01-03,oranges,0.09
Rick,2020-01-03,strawberries,0
Rick,2020-01-03,plums,0
Rick,2020-01-03,pears,0.01
Rick,2020-01-03,tomatoes,0.05
Dick,2020-01-03,apples,0
Dick,2020-01-03,oranges,0.06
Dick,2020-01-03,strawberries,0
Dick,2020-01-03,plums,0
Dick,2020-01-03,pears,0
Dick,2020-01-03,tomatoes,0.08
Jake,2020-01-03,apples,0.01
Jake,2020-01-03,oranges,0.07
Jake,2020-01-03,strawberries,0
Jake,2020-01-03,plums,0
Jake,2020-01-03,pears,0.01
Jake,2020-01-03,tomatoes,0.11
Paul,2020-01-03,apples,0.01
Paul,2020-01-03,oranges,0.08
Paul,2020-01-03,strawberries,0
Paul,2020-01-03,plums,0
Paul,2020-01-03,pears,0.01
Paul,2020-01-03,tomatoes,0.08
Jason,2020-01-03,apples,0
Jason,2020-01-03,oranges,0.11
Jason,2020-01-03,strawberries,0
Jason,2020-01-03,plums,0
Jason,2020-01-03,pears,0.01
Jason,2020-01-03,tomatoes,0.11
Peter,2020-01-03,apples,0
Peter,2020-01-03,oranges,0.04
Peter,2020-01-03,strawberries,0
Peter,2020-01-03,plums,0
Peter,2020-01-03,pears,0.01
Peter,2020-01-03,tomatoes,0.13
John,2020-01-04,apples,0
John,2020-01-04,oranges,0.1
John,2020-01-04,strawberries,0
John,2020-01-04,plums,0
John,2020-01-04,pears,0.01
John,2020-01-04,tomatoes,0.11
Nick,2020-01-04,apples,0
Nick,2020-01-04,oranges,0.06
Nick,2020-01-04,strawberries,0
Nick,2020-01-04,plums,0
Nick,2020-01-04,pears,0.01
Nick,2020-01-04,tomatoes,0.07
Rick,2020-01-04,apples,0
Rick,2020-01-04,oranges,0.08
Rick,2020-01-04,strawberries,0
Rick,2020-01-04,plums,0
Rick,2020-01-04,pears,0.02
Rick,2020-01-04,tomatoes,0.11
Dick,2020-01-04,apples,0
Dick,2020-01-04,oranges,0.12
Dick,2020-01-04,strawberries,0
Dick,2020-01-04,plums,0
Dick,2020-01-04,pears,0
Dick,2020-01-04,tomatoes,0.03
Jake,2020-01-04,apples,0.01
Jake,2020-01-04,oranges,0.12
Jake,2020-01-04,strawberries,0
Jake,2020-01-04,plums,0
Jake,2020-01-04,pears,0.02
Jake,2020-01-04,tomatoes,0.03
Paul,2020-01-04,apples,0.01
Paul,2020-01-04,oranges,0.09
Paul,2020-01-04,strawberries,0
Paul,2020-01-04,plums,0
Paul,2020-01-04,pears,0.01
Paul,2020-01-04,tomatoes,0.09
Jason,2020-01-04,apples,0.01
Jason,2020-01-04,oranges,0.16
Jason,2020-01-04,strawberries,0
Jason,2020-01-04,plums,0
Jason,2020-01-04,pears,0.02
Jason,2020-01-04,tomatoes,0.07
Peter,2020-01-04,apples,0.01
Peter,2020-01-04,oranges,0.13
Peter,2020-01-04,strawberries,0
Peter,2020-01-04,plums,0
Peter,2020-01-04,pears,0.01
Peter,2020-01-04,tomatoes,0.12
John,2020-01-05,apples,0.01
John,2020-01-05,oranges,0.1
John,2020-01-05,strawberries,0
John,2020-01-05,plums,0
John,2020-01-05,pears,0
John,2020-01-05,tomatoes,0.09
Nick,2020-01-05,apples,0
Nick,2020-01-05,oranges,0.05
Nick,2020-01-05,strawberries,0
Nick,2020-01-05,plums,0
Nick,2020-01-05,pears,0.01
Nick,2020-01-05,tomatoes,0.08
Rick,2020-01-05,apples,0.01
Rick,2020-01-05,oranges,0.08
Rick,2020-01-05,strawberries,0
Rick,2020-01-05,plums,0
Rick,2020-01-05,pears,0
Rick,2020-01-05,tomatoes,0.13
Dick,2020-01-05,apples,0.01
Dick,2020-01-05,oranges,0.12
Dick,2020-01-05,strawberries,0
Dick,2020-01-05,plums,0
Dick,2020-01-05,pears,0.02
Dick,2020-01-05,tomatoes,0.04
Jake,2020-01-05,apples,0.01
Jake,2020-01-05,oranges,0.1
Jake,2020-01-05,strawberries,0
Jake,2020-01-05,plums,0
Jake,2020-01-05,pears,0.01
Jake,2020-01-05,tomatoes,0.16
Paul,2020-01-05,apples,0
Paul,2020-01-05,oranges,0.06
Paul,2020-01-05,strawberries,0
Paul,2020-01-05,plums,0
Paul,2020-01-05,pears,0.01
Paul,2020-01-05,tomatoes,0.11
Jason,2020-01-05,apples,0.01
Jason,2020-01-05,oranges,0.08
Jason,2020-01-05,strawberries,0
Jason,2020-01-05,plums,0
Jason,2020-01-05,pears,0.01
Jason,2020-01-05,tomatoes,0.05
Peter,2020-01-05,apples,0.01
Peter,2020-01-05,oranges,0.08
Peter,2020-01-05,strawberries,0
Peter,2020-01-05,plums,0
Peter,2020-01-05,pears,0.01
Peter,2020-01-05,tomatoes,0.09
John,2020-01-06,apples,0.01
John,2020-01-06,oranges,0.11
John,2020-01-06,strawberries,0
John,2020-01-06,plums,0
John,2020-01-06,pears,0.01
John,2020-01-06,tomatoes,0.08
Nick,2020-01-06,apples,0.01
Nick,2020-01-06,oranges,0.13
Nick,2020-01-06,strawberries,0
Nick,2020-01-06,plums,0
Nick,2020-01-06,pears,0.01
Nick,2020-01-06,tomatoes,0.08
Rick,2020-01-06,apples,0
Rick,2020-01-06,oranges,0.11
Rick,2020-01-06,strawberries,0
Rick,2020-01-06,plums,0
Rick,2020-01-06,pears,0.02
Rick,2020-01-06,tomatoes,0.08
Dick,2020-01-06,apples,0.01
Dick,2020-01-06,oranges,0.16
Dick,2020-01-06,strawberries,0
Dick,2020-01-06,plums,0
Dick,2020-01-06,pears,0.01
Dick,2020-01-06,tomatoes,0.17
Jake,2020-01-06,apples,0.01
Jake,2020-01-06,oranges,0.11
Jake,2020-01-06,strawberries,0
Jake,2020-01-06,plums,0
Jake,2020-01-06,pears,0.01
Jake,2020-01-06,tomatoes,0.02
Paul,2020-01-06,apples,0.01
Paul,2020-01-06,oranges,0.08
Paul,2020-01-06,strawberries,0
Paul,2020-01-06,plums,0
Paul,2020-01-06,pears,0.02
Paul,2020-01-06,tomatoes,0.04
Jason,2020-01-06,apples,0.01
Jason,2020-01-06,oranges,0.11
Jason,2020-01-06,strawberries,0
Jason,2020-01-06,plums,0
Jason,2020-01-06,pears,0.01
Jason,2020-01-06,tomatoes,0.06
Peter,2020-01-06,apples,0
Peter,2020-01-06,oranges,0.12
Peter,2020-01-06,strawberries,0
Peter,2020-01-06,plums,0
Peter,2020-01-06,pears,0.01
Peter,2020-01-06,tomatoes,0.03
John,2020-01-07,apples,0.01
John,2020-01-07,oranges,0.14
John,2020-01-07,strawberries,0
John,2020-01-07,plums,0
John,2020-01-07,pears,0.01
John,2020-01-07,tomatoes,0
Nick,2020-01-07,apples,0
Nick,2020-01-07,oranges,0.16
Nick,2020-01-07,strawberries,0
Nick,2020-01-07,plums,0
Nick,2020-01-07,pears,0.01
Nick,2020-01-07,tomatoes,0.11
Rick,2020-01-07,apples,0.01
Rick,2020-01-07,oranges,0.17
Rick,2020-01-07,strawberries,0
Rick,2020-01-07,plums,0
Rick,2020-01-07,pears,0.01
Rick,2020-01-07,tomatoes,0.02
Dick,2020-01-07,apples,0.01
Dick,2020-01-07,oranges,0.09
Dick,2020-01-07,strawberries,0
Dick,2020-01-07,plums,0
Dick,2020-01-07,pears,0.02
Dick,2020-01-07,tomatoes,0.04
Jake,2020-01-07,apples,0.01
Jake,2020-01-07,oranges,0.1
Jake,2020-01-07,strawberries,0
Jake,2020-01-07,plums,0
Jake,2020-01-07,pears,0.01
Jake,2020-01-07,tomatoes,0.06
Paul,2020-01-07,apples,0
Paul,2020-01-07,oranges,0.08
Paul,2020-01-07,strawberries,0
Paul,2020-01-07,plums,0
Paul,2020-01-07,pears,0.01
Paul,2020-01-07,tomatoes,0.05
Jason,2020-01-07,apples,0
Jason,2020-01-07,oranges,0.07
Jason,2020-01-07,strawberries,0
Jason,2020-01-07,plums,0
Jason,2020-01-07,pears,0
Jason,2020-01-07,tomatoes,0.15
Peter,2020-01-07,apples,0.01
Peter,2020-01-07,oranges,0.09
Peter,2020-01-07,strawberries,0
Peter,2020-01-07,plums,0
Peter,2020-01-07,pears,0.01
Peter,2020-01-07,tomatoes,0.15
John,2020-01-08,apples,0
John,2020-01-08,oranges,0.1
John,2020-01-08,strawberries,0
John,2020-01-08,plums,0
John,2020-01-08,pears,0.01
John,2020-01-08,tomatoes,0.01
Nick,2020-01-08,apples,0.01
Nick,2020-01-08,oranges,0.14
Nick,2020-01-08,strawberries,0
Nick,2020-01-08,plums,0
Nick,2020-01-08,pears,0.01
Nick,2020-01-08,tomatoes,0.03
Rick,2020-01-08,apples,0.01
Rick,2020-01-08,oranges,0.12
Rick,2020-01-08,strawberries,0
Rick,2020-01-08,plums,0
Rick,2020-01-08,pears,0.01
Rick,2020-01-08,tomatoes,0.05
Dick,2020-01-08,apples,0.01
Dick,2020-01-08,oranges,0.16
Dick,2020-01-08,strawberries,0.01
Dick,2020-01-08,plums,0
Dick,2020-01-08,pears,0.02
Dick,2020-01-08,tomatoes,0.02
Jake,2020-01-08,apples,0.01
Jake,2020-01-08,oranges,0.08
Jake,2020-01-08,strawberries,0
Jake,2020-01-08,plums,0
Jake,2020-01-08,pears,0.01
Jake,2020-01-08,tomatoes,0.04
Paul,2020-01-08,apples,0.01
Paul,2020-01-08,oranges,0.11
